"","cyto.stim","kw.p","Belgium - Canada","Belgium - Ecuador","Belgium - South Africa","Canada - Ecuador","Canada - South Africa","Ecuador - South Africa"
"1","IFNa2_pIC",1.38187749027425e-11,1.48543997083828e-07,4.91768484913243e-05,0.462906974226492,0.00965416314611859,2.57960756088693e-09,1.86008028861754e-06
"2","IFNa2_R848",9.18008396736105e-08,0.445451504916116,0.167811121399203,0.000929740961839112,0.0927144448071253,0.000247365349074106,8.47055686380545e-09
"3","IFNa2_Unstim",0.0401969192449224,0.226413353224145,0.067936829518726,0.341328765323797,0.182158691706451,0.20508359314269,0.0340474373703738
"4","IFNg_LPS",2.0939104730192e-06,0.000406300134968773,0.0349859754604766,0.255606921267298,0.00540635154108484,1.36768686769509e-06,0.00125623911823485
"5","IFNg_PAM",0.984100919193526,1,1,0.549501788002591,0.460876580173578,0.787462855305971,0.621288518417716
"6","IFNg_PGN",0.0337484033402342,0.0215169944178243,0.0881314787352042,0.208003263529537,0.0759091475178884,0.0390056173113895,0.24527114618128
"7","IFNg_pIC",7.12679997533304e-09,0.00401845519481393,0.00313070959565876,0.0780677759130451,0.431067548230518,6.52385458580884e-07,3.47608634749256e-08
"8","IFNg_R848",2.79024079615432e-10,0.0363233645793453,0.044400805763764,0.00319461433720484,0.306145842202716,7.70966414944443e-09,7.87384295713213e-10
"9","IL-10_LPS",1.10194952764405e-12,0.000776763824361872,1.33777775734346e-05,4.31239590868564e-13,0.185642085957393,9.87532010400267e-07,9.33548018449858e-07
"10","IL-10_PAM",2.10258968011227e-12,1.95836545009177e-07,0.00659807654521565,1.20761539070605e-09,3.97364474639666e-05,0.106353066896309,5.7606254635126e-08
"11","IL-10_PGN",1.74964303733233e-10,0.0413422722563019,0.00412652191460222,1.46041808052148e-09,0.172912411889287,2.5693229868765e-07,2.39692268240517e-07
"12","IL-10_R848",4.41773201840672e-11,0.000841109683946008,0.00689849197784801,2.82798518767959e-10,0.0863090324368821,0.000133656690891248,8.48744796853081e-09
"13","IL-10_Unstim",0.227762094344121,0.0993945041105443,0.138986642257834,0.102777833322645,0.476073139435372,0.605729483104493,0.493442721366261
"14","IL-12p40_LPS",6.47659617075361e-11,0.0135973080931239,0.48160202070021,0.000236637292163011,0.000966557213778288,6.74396040595212e-12,8.62197462555417e-07
"15","IL-12p40_PAM",2.26395487604665e-06,0.0219657147908198,0.217730988774447,4.17691101591979e-05,0.0165241121033432,0.0181124816882641,3.93198061027672e-06
"16","IL-12p40_PGN",1.66919219705991e-07,0.000300811360611148,0.331569732304451,0.410623941780762,2.60745016534041e-08,8.63705436885232e-05,0.218672010670765
"17","IL-12p40_pIC",1.85553189651563e-11,3.96347944319482e-06,0.412843770043909,0.00026006904571793,1.31991293882197e-09,0.121923571420204,3.31597767978446e-06
"18","IL-12p40_R848",2.18118452663467e-07,0.0181862359673139,0.00180632937584067,0.175554024558545,0.220523138613326,0.00013066273415792,2.56614060455365e-07
"19","IL-12p70_LPS",0.066488965395409,0.113787237767014,0.0821094789794305,0.465507594124139,0.513224793475212,0.112111079451199,0.0730637352915375
"20","IL-12p70_pIC",1.8037587395185e-09,0.0556529517835373,0.000243804383454081,0.127086422767139,0.0131160529974204,0.000905842393416178,1.76387615043442e-09
"21","IL-12p70_R848",2.89602612857403e-11,0.00507436076705653,4.41909689939682e-05,0.131372302905742,0.107583826116309,8.2743035361311e-06,8.66798077934726e-11
"22","IL-12p70_Unstim",0.639618096903737,0.419163107779329,0.528230629239479,0.481937197295193,0.53230186213164,0.513630319510114,0.815700569592441
"23","IL-1b_LPS",2.41066046535046e-09,0.000350971819541015,0.226363384408289,0.0253440846178609,0.000135793260846557,2.38819420222222e-10,0.000203646656935739
"24","IL-1b_PAM",1.86081485508528e-08,0.115573341376272,0.137248674616311,0.0010947623727444,0.00151846261140465,0.0103209669331749,4.36360378326704e-09
"25","IL-1b_PGN",8.77642997870893e-05,0.000624842095930911,0.435073542082227,0.419623601610392,0.000151431356839926,0.000200485036336873,0.409387589851942
"26","IL-1b_pIC",2.11309629436616e-05,0.0023183271375243,0.000308877821593518,0.262058095236514,0.26650612680143,0.00604539981833209,0.000331475696982535
"27","IL-1b_R848",1.83093517808338e-11,0.00987954833244956,0.00770846588446686,0.0097884842926161,0.5,1.03250774065257e-08,3.8844745080614e-11
"28","IL-23_LPS",7.8339013332737e-08,0.0243855803531479,0.464350769810869,0.310985343761069,1.48645492830228e-06,6.32000006087899e-08,0.0769224624081386
"29","IL-23_PAM",5.36400976769658e-05,0.0967702444882665,0.558115249563746,0.456597437855958,2.37009207835589e-05,0.000179330203586816,0.48975279523233
"30","IL-23_PGN",3.56539776303895e-10,0.010187352689888,0.386012225289742,0.071166103678119,3.53401352149319e-10,0.0361958654791309,4.74172514173405e-05
"31","IL-23_pIC",2.57189324050679e-06,0.185690464049663,0.226240972214854,0.233781095862084,2.56015355049629e-06,9.2962973719715e-06,0.360186362541576
"32","IL-23_R848",0.0106963629062754,0.225695964178147,0.344581958780622,0.311061526401166,0.143099154843731,0.00300931649796065,0.0293764225617574
"33","IL-6_LPS",3.72127342732795e-08,0.270292636937013,0.252075946837669,0.000201647577158388,0.045554292247341,0.00028199826576899,4.33269607935981e-09
"34","IL-6_PAM",6.41568897654637e-11,0.00296331038820042,0.350912457439822,1.96547821500101e-05,1.23272518391148e-05,0.0598426493926266,5.47205517846818e-10
"35","IL-6_PGN",3.36443526224369e-09,0.000195581068836919,0.158055110526131,2.42367638345751e-06,0.000147408015778707,0.1044738208172,2.26801883191063e-07
"36","IL-6_pIC",0.210194686777577,0.287213906146,0.371045207830182,0.271134837553507,0.321462602806342,0.147309442800765,0.141925208058792
"37","IL-6_R848",3.44181026440148e-10,0.047227412602528,0.211430164737969,7.42683397682633e-05,0.000606926784614696,0.00475187566151273,1.18447092916678e-10
"38","IL-8_LPS",0.000312826801479128,0.0156457618214833,0.226898024169294,0.00151864451438176,0.01210388724136,0.174806670623335,0.00100488029091568
"39","IL-8_PAM",1.304301140927e-09,1.46370580648766e-06,0.0476585932869393,3.81149631813695e-06,2.83790200835644e-06,0.313404755153523,2.01350660014506e-05
"40","IL-8_PGN",1.04022422531094e-07,8.27100090709931e-05,0.179562372657134,5.25043188049524e-05,5.15116152474816e-05,0.373652733544282,2.9109206194835e-05
"41","IL-8_pIC",0.0110579309682701,0.065688920703644,0.146759177137953,0.00855135941524441,0.137316691924487,0.127630656166123,0.0116229301783309
"42","IL-8_R848",0.00456902875531756,0.0106311931360311,0.16880706863223,0.0212623862720622,0.0130749807221209,0.5,0.0174333076294945
"43","IL-8_Unstim",0.0156189316709534,0.0603141399596172,0.0541265225266675,0.00403280666374603,0.493003546362795,0.0689813833908344,0.0518928678119208
"44","IP-10_LPS",7.06899030775738e-09,0.247217027715756,0.0465036003787688,0.00287317160990748,0.0024369189726892,0.00482583677963682,1.11797359332318e-09
"45","IP-10_PAM",1.26928694300568e-05,0.00300777084439025,0.172796660789501,0.000233019363939947,0.00248190930935264,0.199842643494775,0.000142030663516597
"46","IP-10_PGN",6.34236352925264e-06,0.0106862131646695,0.136153141011529,0.133523906057651,2.71943485662324e-06,0.0851803906305297,0.00329594662738154
"47","IP-10_pIC",5.42567562890921e-08,0.109985939109815,0.257352715180093,0.000309169831385863,0.00588110071979345,0.00465406772600952,1.06773867633006e-08
"48","IP-10_R848",1.67407803745343e-05,0.297052858874686,0.124626162579139,0.0206135811449046,0.193466131617346,0.00108497758129559,2.35320030603184e-06
"49","IP-10_Unstim",1.2597054929008e-05,0.0256826193899868,0.096809175239735,0.257894240173743,1.82190090051788e-06,0.000940383359369317,0.192300397661793
"50","MDC_Unstim",0.00126189426152878,0.440238526254275,0.0123039415737833,0.194708411373859,0.00137734248031727,0.133243318762818,0.0530515634429962
"51","MIP-1a_LPS",2.96144811250715e-08,0.120383004693969,0.474238687511029,1.70037779935048e-05,0.0686091445707947,0.000222325955054529,8.73243050965312e-09
"52","MIP-1a_PAM",2.27026225811341e-11,0.000301893625458296,0.149963542553478,5.30843972412208e-08,0.000322253856467851,0.0114697005071523,7.63567394049615e-10
"53","MIP-1a_PGN",2.62297788553132e-06,0.0004359649367762,0.0216553706393976,6.53164325963726e-06,0.0184842981152433,0.073956091318471,0.000126826719505438
"54","MIP-1a_pIC",1.59458119056984e-09,0.00212061837187667,1.45020637714978e-05,0.397013392254735,0.0986516443382415,0.000140412190580529,2.26833004650009e-08
"55","MIP-1a_R848",3.28739804958957e-11,0.02212471028465,0.44398045128251,1.79842738483458e-06,0.00166305774452142,0.00101425752459483,1.73475404665861e-11
"56","MIP-1a_Unstim",4.78752072816114e-05,0.000313541484225632,0.162227503550443,0.489975813846261,0.000467627108938404,6.46711261640815e-05,0.135336542478619
"57","MIP-1b_LPS",2.20737183184771e-08,0.187914032785877,0.246155923221781,0.000176247949873655,0.0183585902873886,0.00074387895704011,2.8305453703704e-09
"58","MIP-1b_PAM",2.4370166719262e-11,0.00142275995325251,0.488949887916233,4.62129033865699e-06,1.51874072935167e-05,0.0384885293971802,2.73986523937357e-10
"59","MIP-1b_PGN",0.0215262706528422,0.219582873666251,0.100558077192538,0.332368894282827,0.244057760322257,0.077852975404563,0.0118540313089401
"60","MIP-1b_pIC",3.68835526337988e-11,0.108314935276786,0.000174744198032237,0.0758856354685345,0.00146687430250001,0.00113413238327966,2.8348990812757e-11
"61","MIP-1b_R848",3.36542323210947e-09,0.334489737239253,0.113915801728805,0.000436702440898812,0.0195530761220529,0.000367892647378007,2.51365430464717e-10
"62","TNFa_LPS",1.00608891316456e-08,0.0210412537269238,0.0379154806636605,0.0134218819966285,0.233583542997708,5.77413475961148e-08,4.0644107062523e-08
"63","TNFa_PAM",9.6164987627677e-12,0.0100501846918362,0.309980348095987,7.84897645979109e-06,8.25871994843523e-05,0.00767809752528592,1.20338311318643e-11
"64","TNFa_PGN",1.40965464447451e-05,0.100134207323674,0.0384750967916544,0.0263366071208042,4.0820264040922e-05,2.83490369087542e-05,0.258625871852901
"65","TNFa_pIC",1.05209681299314e-09,0.0407127598889838,0.00950183373905935,0.0139985672231119,0.240361266740157,1.28973424348774e-06,4.19889409743839e-10
"66","TNFa_R848",3.86135528052657e-11,0.344597326155106,0.0223044540957436,0.0013344616951862,0.0185236548916927,2.76125251022271e-05,2.36353430219807e-12
"67","TNFa_Unstim",2.29478743921131e-05,0.466568993552859,0.0116424037977169,0.000346289129785737,0.00367685426745855,5.81560783752297e-05,0.0221622451229786
